id,pipe_id,location,zone,latitude,longitude,installation_year,pipe_age,material,diameter_mm,length_m,max_capacity_lps,pressure_bar,flow_rate_lps,temperature_c,operational_status,inspection_status,risk_score,risk_level,last_inspection_date
"PIPE-CAL-1023","PIPE-CAL-1023","Bowness Rd & 85th St NW, Calgary","BROADCAST HILL",51.0855,-114.2052,1997,29,"PVC",200,305,210,4.9,138,10.4,"Active","Passed",16,"Low","2026-04-11"
"PIPE-CAL-1026","PIPE-CAL-1026","Crowchild Trail NW & 53rd St NW, Calgary","NOSE HILL",51.1021,-114.1689,2006,20,"PVC",300,420,350,5,230,10,"Active","Passed",12,"Low","2026-05-24"
"PIPE-CAL-1028","PIPE-CAL-1028","16th Ave NW & 29th St NW, Calgary Foothills","NORTH HILL",51.0678,-114.1255,1990,36,"Ductile Iron",350,380,410,4.5,270,10.6,"Active","Passed",24,"Low","2026-02-09"
"PIPE-CAL-1030","PIPE-CAL-1030","Stoney Trail & Country Hills Blvd NE","NORTH HILL",51.155,-113.985,2018,8,"Polyethylene",200,520,230,5.7,145,9.3,"Active","Passed",4,"Low","2026-07-10"
"PIPE-CAL-1033","PIPE-CAL-1033","32nd Ave NE & 19th St NE, Calgary","NORTH HILL",51.0821,-114.0112,2003,23,"PVC",250,350,290,4.8,190,10.3,"Active","Passed",15,"Low","2026-03-22"
"PIPE-CAL-1034","PIPE-CAL-1034","Shawnessy Blvd & Macleod Trail S, Calgary","MIDNAPORE",50.8988,-114.0711,1998,28,"Ductile Iron",350,410,430,4.6,285,10.8,"Active","Passed",20,"Low","2026-01-18"
"PIPE-CAL-1036","PIPE-CAL-1036","64th Ave NE & Metis Trail NE, Calgary","NORTH HILL",51.1102,-113.955,2014,12,"Polyethylene",300,460,360,5.5,225,9.6,"Active","Passed",7,"Low","2026-04-28"
"PIPE-CAL-1037","PIPE-CAL-1037","Springbank Rd & 101st St SW, Calgary","WEST CALGARY",51.0512,-114.2389,2005,21,"PVC",250,380,300,5,195,10.2,"Active","Passed",13,"Low","2026-02-19"
"PIPE-CAL-1040","PIPE-CAL-1040","McKenzie Towne Blvd & 130th Ave SE","MIDNAPORE",50.9298,-113.9721,2002,24,"PVC",300,390,340,4.8,220,10.5,"Active","Passed",17,"Low","2026-05-15"
"PIPE-CAL-1043","PIPE-CAL-1043","14th St NW & 64th Ave NW, Huntington Hills","NOSE HILL",51.1105,-114.0921,1994,32,"Ductile Iron",300,320,330,4.5,210,10.3,"Active","Passed",22,"Low","2026-03-05"
"PIPE-CAL-1044","PIPE-CAL-1044","Sun Valley Blvd & Chaparral Blvd SE","MIDNAPORE",50.885,-114.0411,2007,19,"PVC",250,360,280,5.1,175,9.9,"Active","Passed",10,"Low","2026-06-21"
"PIPE-CAL-1046","PIPE-CAL-1046","16th Ave NE & 68th St NE, Monterey Park","NORTH HILL",51.0675,-113.9211,1996,30,"PVC",300,440,340,4.7,225,10.5,"Active","Passed",18,"Low","2026-02-17"
"PIPE-CAL-1048","PIPE-CAL-1048","Valley Ridge Blvd & Trans-Canada Hwy NW","BROADCAST HILL",51.0895,-114.275,2000,26,"PVC",300,480,370,4.9,240,10.1,"Active","Passed",15,"Low","2026-04-05"
"PIPE-CAL-1050","PIPE-CAL-1050","Copperfield Blvd & 130th Ave SE","MIDNAPORE",50.925,-113.938,2012,14,"Polyethylene",200,310,210,5.4,130,9.7,"Active","Passed",6,"Low","2026-06-18"
"PIPE-CAL-1003","PIPE-CAL-1003","Macleod Trail & 58th Ave SE, Calgary","GLENMORE",51.0006,-114.0725,1965,61,"Cast Iron",200,180.2,210,2.7,142,12.1,"Maintenance Required","Pending Review",76,"High","2025-09-22"
"PIPE-CAL-1005","PIPE-CAL-1005","Center St N & 16th Ave N, Calgary","NORTH HILL",51.0672,-114.0631,1982,44,"Ductile Iron",350,410.8,420,4.1,290,11.5,"Active","Scheduled",42,"Medium","2025-06-04"
"PIPE-CAL-1009","PIPE-CAL-1009","Heritage Dr & Blackfoot Trail SE, Calgary","GLENMORE",50.9855,-114.0412,1988,38,"Ductile Iron",300,380.5,340,3.9,240.1,11.8,"Active","Scheduled",35,"Medium","2025-10-11"
"PIPE-CAL-1011","PIPE-CAL-1011","9th Ave & 4th St SE, Calgary Downtown","DOWNTOWN",51.0441,-114.0556,1968,58,"Cast Iron",250,195.4,260,2.9,175,12.5,"Maintenance Required","Failed - Action Required",82,"High","2025-12-01"
"PIPE-CAL-1013","PIPE-CAL-1013","Barlow Trail & 16th Ave NE, Calgary","NORTH HILL",51.0668,-113.9921,1975,51,"Cast Iron",400,540,520,3.1,385,12,"Maintenance Required","Pending Review",79,"High","2025-08-19"
"PIPE-CAL-1015","PIPE-CAL-1015","Fish Creek Provincial Park Crossing SE","MIDNAPORE",50.9021,-114.0322,1985,41,"Steel",500,720,800,3.6,580,11.3,"Active","Scheduled",48,"Medium","2025-11-05"
"PIPE-CAL-1021","PIPE-CAL-1021","Memorial Dr & Edmonton Trail NE, Calgary","NORTH HILL",51.0505,-114.0531,1980,46,"Ductile Iron",300,280,310,4,205,11.4,"Active","Scheduled",38,"Medium","2025-07-14"
"PIPE-CAL-1022","PIPE-CAL-1022","4th St SW & 12th Ave SW, Calgary Downtown","DOWNTOWN",51.0418,-114.0712,1974,52,"Cast Iron",250,210,250,3.3,168,12.2,"Active","Pending Review",64,"High","2025-10-29"
"PIPE-CAL-1024","PIPE-CAL-1024","Canyon Meadows Dr & Bow Bottom Trail SE","MIDNAPORE",50.9321,-114.0255,1986,40,"Ductile Iron",400,490,510,4.2,360,11.1,"Active","Passed",30,"Medium","2025-11-28"
"PIPE-CAL-1025","PIPE-CAL-1025","52nd St SE & 72nd Ave SE, Industrial Park","OGDEN",50.9881,-113.9589,1979,47,"Steel",450,610,680,3.4,490,12.6,"Maintenance Required","Failed - Action Required",85,"High","2026-01-15"
"PIPE-CAL-1027","PIPE-CAL-1027","Elbow Dr & 75th Ave SW, Calgary","GLENMORE",50.9862,-114.0841,1969,57,"Cast Iron",200,175,200,2.8,135,12.4,"Maintenance Required","Pending Review",77,"High","2025-09-08"
"PIPE-CAL-1031","PIPE-CAL-1031","10th Ave SW & 8th St SW, Beltline","DOWNTOWN",51.0435,-114.0815,1984,42,"Ductile Iron",250,190,270,3.8,180,11.6,"Active","Scheduled",45,"Medium","2025-08-01"
"PIPE-CAL-1032","PIPE-CAL-1032","Glenmore Trail & 14th St SW, Calgary","GLENMORE",50.9945,-114.0955,1976,50,"Steel",600,910,1200,3.7,890,12,"Active","Pending Review",58,"Medium","2025-11-19"
"PIPE-CAL-1035","PIPE-CAL-1035","Heritage Park Water Main Supply, Calgary","GLENMORE",50.9812,-114.1011,1971,55,"Cast Iron",200,160,195,2.9,130,12.7,"Maintenance Required","Failed - Action Required",81,"High","2025-10-04"
"PIPE-CAL-1038","PIPE-CAL-1038","Peigan Trail & Barlow Trail SE, Calgary","OGDEN",51.0188,-113.9989,1983,43,"Ductile Iron",400,520,550,3.9,390,11.7,"Active","Scheduled",41,"Medium","2025-07-22"
"PIPE-CAL-1039","PIPE-CAL-1039","4th St NW & 40th Ave NW, Highland Park","NORTH HILL",51.0885,-114.0711,1977,49,"Cast Iron",200,185,205,3,140,12.3,"Maintenance Required","Pending Review",73,"High","2025-12-14"
"PIPE-CAL-1041","PIPE-CAL-1041","Edworthy Park Crossing, Bow River West","BROADCAST HILL",51.0611,-114.1560,1987,39,"Steel",450,580,620,3.7,450,11,"Active","Scheduled",39,"Medium","2025-09-30"
"PIPE-CAL-1045","PIPE-CAL-1045","33rd Ave SW & 20th St SW, Marda Loop","WEST CALGARY",51.0232,-114.1089,1979,47,"Ductile Iron",200,210,210,3.6,145,11.9,"Active","Pending Review",52,"Medium","2025-11-11"
"PIPE-CAL-1047","PIPE-CAL-1047","Fairmount Dr & 82nd Ave SE, Acadia","GLENMORE",50.9798,-114.0589,1973,53,"Cast Iron",250,240,260,3.1,175,12.1,"Maintenance Required","Failed - Action Required",84,"High","2025-10-18"
"PIPE-CAL-1049","PIPE-CAL-1049","Heritage Meadows Rd & SE Main Feeder","GLENMORE",50.985,-114.031,1989,37,"Steel",500,670,720,4.1,510,11.2,"Active","Scheduled",33,"Medium","2025-08-25"
"PIPE-CAL-1001","PIPE-CAL-1001","14th St & 8th Ave SW, Calgary","DOWNTOWN",51.0458,-114.0892,1978,48,"Cast Iron",300,245.5,320,3.2,185.4,11.2,"Maintenance Required","Failed - Action Required",88,"Critical","2025-11-14"
"PIPE-CAL-1006","PIPE-CAL-1006","Ogden Rd & 50th Ave SE, Calgary","OGDEN",50.9982,-114.0156,1972,54,"Steel",500,630,780,3.5,520.4,13,"Under Repair","Failed - Action Required",92,"Critical","2026-07-02"
"PIPE-CAL-1016","PIPE-CAL-1016","17th Ave SE & 36th St SE, Calgary","OGDEN",51.0379,-113.9812,1970,56,"Cast Iron",300,260,310,2.8,210,13.2,"Under Repair","Failed - Action Required",95,"Critical","2026-07-25"
"PIPE-CAL-1019","PIPE-CAL-1019","Spiller Rd & 25th Ave SE, Calgary","DOWNTOWN",51.0301,-114.0498,1963,63,"Cast Iron",200,165,190,2.6,130,12.8,"Maintenance Required","Failed - Action Required",89,"Critical","2025-12-20"
"PIPE-CAL-1029","PIPE-CAL-1029","1st St SE & 6th Ave SE, Calgary City Centre","DOWNTOWN",51.0475,-114.0611,1960,66,"Cast Iron",300,230,300,2.5,195,13.5,"Inactive","Failed - Action Required",97,"Critical","2026-06-30"
"PIPE-CAL-1042","PIPE-CAL-1042","Kensington Rd & 10th St NW, Calgary","NORTH HILL",51.0528,-114.0858,1967,59,"Cast Iron",250,170,240,2.7,160,12.9,"Under Repair","Failed - Action Required",91,"Critical","2026-07-18"
